47.7928542455,-92.0823340442,Thamnophis sirtalis,Common Garter Snake,Reptilia,"Sint Louis County, Minnesota, Verenigde Staten",rbeunen
47.2491666667,-92.4398333333,Thamnophis sirtalis,Common Garter Snake,Reptilia,"Cotton, MN, US",bogben
44.8764821,-93.6902409,Storeria occipitomaculata,Red-bellied Snake,Reptilia,"55386, 7400 Grimm Rd, Waconia, MN 55386",frozeninmn
44.8324916716,-93.205980733,Chrysemys picta,Painted Turtle,Reptilia,"Eagan, MN 55122, USA",david_dawis
45.5335626015,-92.8255017197,Emydoidea blandingii,Blanding's Turtle,Reptilia,"Minnesota, US",naturalistdave99
45.2228908978,-93.3074126819,Storeria occipitomaculata,Red-bellied Snake,Reptilia,"Minnesota, US",carissab
45.3958827127,-93.3535541281,Plestiodon septentrionalis,Prairie Skink,Reptilia,"Minnesota, US",carissab
45.253749251,-93.3611802735,Chrysemys picta,Painted Turtle,Reptilia,"Minnesota, US",carissab
44.6597000051,-93.2657226245,Chelydra serpentina,Common Snapping Turtle,Reptilia,"Lakeville, MN, USA",devynkey
45.0413325149,-92.9780779742,Chelydra serpentina,Common Snapping Turtle,Reptilia,"Mahtomedi, MN, USA",n_pilla
44.6725563952,-93.1364847615,Chrysemys picta,Painted Turtle,Reptilia,"Farmington, MN",jrkonicek
44.4613081134,-93.1496786181,Chrysemys picta,Painted Turtle,Reptilia,Carleton Collge,loarie
46.9609544345,-94.4263311617,Chrysemys picta,Painted Turtle,Reptilia,"hackensack, mn",jgrout0601
44.659124,-93.131783,Chrysemys picta,Painted Turtle,Reptilia,"3255 201st St W, Farmington, Minnesota, US",jrkonicek
44.649461,-93.136563,Chelydra serpentina,Common Snapping Turtle,Reptilia,"Chippendale Ave W, Farmington, Minnesota, US",jrkonicek
44.1315610609,-94.0039982474,Chelydra serpentina,Common Snapping Turtle,Reptilia,"Mankato, Minnesota",mstarr
