45.950172,-92.690298,Chrysemys picta bellii,Western Painted Turtle,Reptilia,"b', Minnesota, United States'",b'squamatologist'
45.5285795718,-93.7996994116,Pituophis catenifer sayi,Bullsnake,Reptilia,"b'Minnesota, US'",b'squamatologist'
44.73675,-95.458198,Thamnophis radix,Plains Garter Snake,Reptilia,"b', Minnesota, United States'",b'squamatologist'
45.511843747,-92.6470060368,Heterodon platirhinos,Eastern Hognose Snake,Reptilia,"b'Minnesota, US'",b'squamatologist'
45.5566444139,-92.6220437834,Heterodon platirhinos,Eastern Hognose Snake,Reptilia,"b'Minnesota, US'",b'squamatologist'
47.7928542455,-92.0823340442,Thamnophis sirtalis,Common Garter Snake,Reptilia,"b'Sint Louis County, Minnesota, Verenigde Staten'",b'rbeunen'
47.2491666667,-92.4398333333,Thamnophis sirtalis,Common Garter Snake,Reptilia,"b'Cotton, MN, US'",b'bogben'
44.8764821,-93.6902409,Storeria occipitomaculata,Red-bellied Snake,Reptilia,"b'55386, 7400 Grimm Rd, Waconia, MN 55386'",b'frozeninmn'
44.8324916716,-93.205980733,Chrysemys picta,Painted Turtle,Reptilia,"b'Eagan, MN 55122, USA'",b'david_dawis'
45.5335626015,-92.8255017197,Emydoidea blandingii,Blanding's Turtle,Reptilia,"b'Minnesota, US'",b'naturalistdave99'
45.2228908978,-93.3074126819,Storeria occipitomaculata,Red-bellied Snake,Reptilia,"b'Minnesota, US'",b'carissab'
45.3958827127,-93.3535541281,Plestiodon septentrionalis,Prairie Skink,Reptilia,"b'Minnesota, US'",b'carissab'
45.253749251,-93.3611802735,Chrysemys picta,Painted Turtle,Reptilia,"b'Minnesota, US'",b'carissab'
44.6597000051,-93.2657226245,Chelydra serpentina,Common Snapping Turtle,Reptilia,"b'Lakeville, MN, USA'",b'devynkey'
45.0413325149,-92.9780779742,Chelydra serpentina,Common Snapping Turtle,Reptilia,"b'Mahtomedi, MN, USA'",b'n_pilla'
44.6725563952,-93.1364847615,Chrysemys picta,Painted Turtle,Reptilia,"b'Farmington, MN'",b'jrkonicek'
44.4613081134,-93.1496786181,Chrysemys picta,Painted Turtle,Reptilia,b'Carleton Collge',b'loarie'
46.9609544345,-94.4263311617,Chrysemys picta,Painted Turtle,Reptilia,"b'hackensack, mn'",b'jgrout0601'
44.659124,-93.131783,Chrysemys picta,Painted Turtle,Reptilia,"b'3255 201st St W, Farmington, Minnesota, US'",b'jrkonicek'
44.649461,-93.136563,Chelydra serpentina,Common Snapping Turtle,Reptilia,"b'Chippendale Ave W, Farmington, Minnesota, US'",b'jrkonicek'
44.1315610609,-94.0039982474,Chelydra serpentina,Common Snapping Turtle,Reptilia,"b'Mankato, Minnesota'",b'mstarr'
45.032187,-93.338561,Chrysemys picta,Painted Turtle,Reptilia,"b'Robbinsdale, MN'",b'hselen'
47.235219,-95.207314,Chelydra serpentina,Common Snapping Turtle,Reptilia,"b'Schoolcraft trail, Itasca State Park, MN'",b'riversedge'
47.368846,-94.947892,Chelydra serpentina,Common Snapping Turtle,Reptilia,"b'Neilson Spearhead Center, MN'",b'gamaxson'
46.263843,-96.062521,Storeria occipitomaculata,Red-bellied Snake,Reptilia,"b'Otter Tail County, US-MN, US'",b'scottking'
47.2308762,-95.1870918,Thamnophis sirtalis,Common Garter Snake,Reptilia,"b'Itasca State Park, Park Rapids, MN, United States'",b'bekkita'
47.1593923,-94.7626637,Chrysemys picta,Painted Turtle,Reptilia,"b'Kabekona Lake, Minnesota 56461, USA'",b'bekkita'
47.2308762,-95.1870918,Chelydra serpentina,Common Snapping Turtle,Reptilia,"b'Itasca State Park, Park Rapids, MN, United States'",b'bekkita'
47.2308762,-95.1870918,Plestiodon septentrionalis,Prairie Skink,Reptilia,"b'Itasca State Park, Park Rapids, MN, United States'",b'bekkita'
45.1619556509,-93.2951175816,Chelydra serpentina,Common Snapping Turtle,Reptilia,"b'Erlandson Park, Coon Rapids, MN, US'",b'meganmaye'
45.4020253,-93.1994037,Plestiodon septentrionalis,Prairie Skink,Reptilia,"b'2660 Fawn Lake Dr NE, East Bethel, MN 55005, USA'",b'malisaspring'
47.3793942,-94.6043207,Chelydra serpentina,Common Snapping Turtle,Reptilia,"b'Cass Lake, MN 56633, USA'",b'leedoolan'
46.7992187537,-96.1217379595,Thamnophis sirtalis sirtalis,Eastern Garter Snake,Reptilia,"b'Becker County, MN, USA'",b'sgoodchild'
48.3432239056,-92.211027979,Storeria occipitomaculata,Red-bellied Snake,Reptilia,"b'00060, Northeast St. Louis, MN, US'",b'gonodactylus'
44.8973889909,-93.5010968331,Storeria occipitomaculata,Red-bellied Snake,Reptilia,"b'Minnetonka, MN, USA'",b'heatherholm'
44.8973737946,-93.4990369005,Thamnophis sirtalis,Common Garter Snake,Reptilia,"b'Minnetonka, MN, USA'",b'heatherholm'
44.8793639311,-93.1819262243,Chrysemys picta,Painted Turtle,Reptilia,"b'Hennepin County, MN, USA'",b'cmlr'
45.9721497117,-92.5801855247,Heterodon platirhinos,Eastern Hognose Snake,Reptilia,"b'Pine County, MN, USA'",b'bolmstead42'
44.876191,-93.1844738,Chrysemys picta bellii,Western Painted Turtle,Reptilia,"b'Fort Snelling State Park Trail, Mendota Heights, MN, USA'",b'cmlr'
43.768999916,-94.1955288532,Apalone spinifera,Spiny Softshell,Reptilia,"b'Faribault County, MN, USA'",b'dexternienhaus'
43.7955893735,-94.0762462606,Chrysemys picta bellii,Western Painted Turtle,Reptilia,"b'Faribault County, MN, USA'",b'dexternienhaus'
44.8621639,-93.6162667,Chrysemys picta,Painted Turtle,Reptilia,"b'Minnesota Landscape Arboretum, Chaska, MN 55318, USA'",b'gentoopenguin21'
44.8597285003,-93.2152306259,Storeria dekayi,DeKay's Brownsnake,Reptilia,"b'South Loop District, Bloomington, MN, USA'",b'drshawntdash'
45.137505,-93.444868,Chelydra serpentina,Common Snapping Turtle,Reptilia,"b'Maple Grove, MN, USA'",b'frankziegler'
45.0,-92.9661111111,Chrysemys picta,Painted Turtle,Reptilia,"b'Oakdale, MN 55128, USA'",b'frankziegler'
47.0689220949,-92.7768528304,Chelydra serpentina,Common Snapping Turtle,Reptilia,"b'St Louis County, MN, USA'",b'mnwild'
44.9675158907,-92.9896966315,Chrysemys picta,Painted Turtle,Reptilia,"b'Maplewood, MN, USA'",b'lcplinske'
44.9671456891,-92.9895575259,Chrysemys picta bellii,Western Painted Turtle,Reptilia,"b'Maplewood, MN, USA'",b'frankziegler'
44.9671912337,-92.9895476827,Chrysemys picta bellii,Western Painted Turtle,Reptilia,"b'Maplewood, MN, USA'",b'frankziegler'
43.5063092274,-91.3847882889,Pantherophis obsoletus,Western Ratsnake,Reptilia,b'United States',b'jeff_leclere'
47.3581078602,-93.8591861352,Storeria occipitomaculata,Red-bellied Snake,Reptilia,"b'Morse Township, MN, USA'",b'rutherfordscouts'
44.0793448907,-91.6798014829,Apalone spinifera,Spiny Softshell,Reptilia,"b'Winona, MN 55987, USA'",b'dexternienhaus'
43.8197072853,-92.3094907213,Lampropeltis triangulum,Eastern Milksnake,Reptilia,"b'Minnesota, US'",b'squamatologist'
43.9827784608,-92.2116428597,Lampropeltis triangulum,Eastern Milksnake,Reptilia,"b'Minnesota, US'",b'squamatologist'
45.435088,-93.707628,Opheodrys vernalis,Smooth Greensnake,Reptilia,"b'Orrock, Minnesota, United States'",b'squamatologist'
45.5523329804,-93.6372018634,Pituophis catenifer sayi,Bullsnake,Reptilia,"b'Minnesota, US'",b'squamatologist'
45.403611493,-93.6846715178,Heterodon nasicus,Plains Hognose Snake,Reptilia,"b'Minnesota, US'",b'squamatologist'
45.4730114523,-93.6800399001,Pituophis catenifer sayi,Bullsnake,Reptilia,"b'Minnesota, US'",b'squamatologist'
45.254404,-93.094537,Chrysemys picta bellii,Western Painted Turtle,Reptilia,"b'Columbus, Minnesota, United States'",b'squamatologist'
45.260448,-93.065271,Chelydra serpentina,Common Snapping Turtle,Reptilia,"b'Columbus, Minnesota, United States'",b'squamatologist'
45.4500100783,-93.6583389986,Emydoidea blandingii,Blanding's Turtle,Reptilia,"b'Minnesota, US'",b'refugerover'
47.9019825364,-91.4652935124,Chelydra serpentina,Common Snapping Turtle,Reptilia,"b'Lake County, MN, USA'",b'jacobfpenner'
47.1969160064,-91.377857,Diadophis punctatus edwardsii,Northern Ringneck Snake,Reptilia,"b'Split Rock Lighthouse State Park, Two Harbors, MN, US'",b'takeahike'
47.1965800063,-91.377896,Thamnophis sirtalis sirtalis,Eastern Garter Snake,Reptilia,"b'Split Rock Lighthouse State Park, Two Harbors, MN, US'",b'takeahike'
47.9672091214,-90.4818212986,Chrysemys picta,Painted Turtle,Reptilia,b'Little Trout Lake',b'cherylbatson'
46.8918216922,-93.7895127386,Chrysemys picta,Painted Turtle,Reptilia,"b'Smoky Hollow Township, MN, USA'",b'cherylbatson'
47.9884770415,-91.3362480327,Chrysemys picta,Painted Turtle,Reptilia,"b'Fall Lake Township, MN, USA'",b'filee14'
48.4708113532,-92.8458395228,Thamnophis sirtalis,Common Garter Snake,Reptilia,"b'International Falls, MN 56649, USA'",b'filee14'
45.5791150012,-92.6052672343,Emydoidea blandingii,Blanding's Turtle,Reptilia,"b'Minnesota, US'",b'naturalistdave99'
45.521636312,-92.7291569595,Chrysemys picta,Painted Turtle,Reptilia,"b'Chisago County, MN, USA'",b'naturalistdave99'
44.8338968232,-93.0423251165,Chelydra serpentina,Common Snapping Turtle,Reptilia,"b'Inver Grove Heights, MN, USA'",b'davidholmen'
45.2533285093,-93.3885211359,Thamnophis sirtalis,Common Garter Snake,Reptilia,"b'Minnesota, US'",b'carissab'
45.2065311303,-93.3274698339,Thamnophis sirtalis,Common Garter Snake,Reptilia,"b'Minnesota, US'",b'carissab'
45.2201998676,-93.373251518,Plestiodon septentrionalis,Prairie Skink,Reptilia,"b'Minnesota, US'",b'carissab'
45.3241724899,-93.3629590182,Thamnophis sirtalis,Common Garter Snake,Reptilia,"b'Minnesota, US'",b'carissab'
45.2961340577,-93.2272291173,Thamnophis sirtalis,Common Garter Snake,Reptilia,"b'Minnesota, US'",b'carissab'
45.2354020535,-93.3208268128,Thamnophis sirtalis,Common Garter Snake,Reptilia,"b'Minnesota, US'",b'carissab'
45.3032925421,-93.2970005045,Thamnophis sirtalis,Common Garter Snake,Reptilia,"b'Minnesota, US'",b'carissab'
45.2006079017,-93.3197926683,Plestiodon septentrionalis,Prairie Skink,Reptilia,"b'Minnesota, US'",b'carissab'
45.3344922976,-93.2387405212,Plestiodon septentrionalis,Prairie Skink,Reptilia,"b'Minnesota, US'",b'carissab'
45.2497752403,-93.2880089101,Plestiodon septentrionalis,Prairie Skink,Reptilia,"b'Minnesota, US'",b'carissab'
45.2417550118,-93.3926652338,Plestiodon septentrionalis,Prairie Skink,Reptilia,"b'Minnesota, US'",b'carissab'
45.2387611605,-93.3208877833,Plestiodon septentrionalis,Prairie Skink,Reptilia,"b'Minnesota, US'",b'carissab'
45.2548953726,-96.404889822,Chrysemys picta,Painted Turtle,Reptilia,"b'Yellow Bank Township, MN, USA'",b'a-geoman'
43.7180351416,-96.1902550774,Chelydra serpentina,Common Snapping Turtle,Reptilia,"b'Rock County, MN, USA'",b'carbonated_warbler'
46.2820265796,-96.0754119888,Chrysemys picta,Painted Turtle,Reptilia,"b'Fergus Falls, MN 56537, USA'",b'jessejameswhite'
44.4374656497,-93.152831026,Thamnophis radix,Plains Garter Snake,Reptilia,"b'Northfield, MN 55057, USA'",b'gabrielfisher-navarro'
45.0833781281,-93.6065253678,Chrysemys picta bellii,Western Painted Turtle,Reptilia,"b'Corcoran, MN, USA'",b'marinebioteacher'
46.8631518468,-96.4714716884,Chrysemys picta,Painted Turtle,Reptilia,"b'Clay County, MN, USA'",b'arognlie'
45.115306,-93.139467,Chrysemys picta bellii,Western Painted Turtle,Reptilia,"b'1212 karth lake drive Arden Hills, MN'",b'loarie'
45.115306,-93.139467,Thamnophis sirtalis sirtalis,Eastern Garter Snake,Reptilia,"b'1212 karth lake drive Arden Hills, MN'",b'loarie'
46.13106,-92.867423,Thamnophis sirtalis,Common Garter Snake,Reptilia,"b'Sandstone, MN'",b'hselen'
43.7585,-92.0043333333,Chelydra serpentina,Common Snapping Turtle,Reptilia,"b'Minnesota Memorial Hardwood State Forest, Lanesboro, Minnesota, US'",b'bwiessner'
44.027872,-92.428909,Storeria occipitomaculata,Red-bellied Snake,Reptilia,"b'310 Silver Creek Rd NE, Rochester, Minnesota, US'",b'chrispherp'
43.951333,-92.437833,Thamnophis sirtalis sirtalis,Eastern Garter Snake,Reptilia,"b'55904, Rochester, Minnesota, US'",b'chrispherp'
43.959833,-92.356667,Storeria occipitomaculata,Red-bellied Snake,Reptilia,"b'4000\xc3\xa2\xe2\x82\xac\xe2\x80\x9c4270 60th Ave SE, Rochester, Minnesota, US'",b'chrispherp'
44.0295,-92.4315,Chelydra serpentina,Common Snapping Turtle,Reptilia,"b'1451\xc3\xa2\xe2\x82\xac\xe2\x80\x9c1713 Silver Creek Rd NE, Rochester, Minnesota, US'",b'chrispherp'
44.0278333333,-92.489,Thamnophis radix,Plains Garter Snake,Reptilia,"b'411\xc3\xa2\xe2\x82\xac\xe2\x80\x9c599 17th Ave NW, Rochester, Minnesota, US'",b'chrispherp'
44.0281666667,-92.492,Thamnophis sirtalis sirtalis,Eastern Garter Snake,Reptilia,"b'427 West Frontage Hwy 52 Rd Nw, Rochester, Minnesota, US'",b'chrispherp'
47.221665,-95.195324,Chrysemys picta,Painted Turtle,Reptilia,"b'Itasca State Park, MN'",b'markg'
45.080464,-92.793245,Graptemys pseudogeographica,False Map Turtle,Reptilia,"b'Stillwater, minnesota'",b'happymoose'
46.7993460622,-96.1211013845,Storeria occipitomaculata,Red-bellied Snake,Reptilia,"b'Becker County, MN, USA'",b'sgoodchild'
46.7649907484,-96.2336257473,Chrysemys picta bellii,Western Painted Turtle,Reptilia,"b'Parke Township, MN, USA'",b'cideeci'
45.055,-92.9698333333,Chrysemys picta,Painted Turtle,Reptilia,"b'Birchwood Village, MN, USA'",b'millennialmyces'
46.5834116317,-96.3378177897,Chelydra serpentina,Common Snapping Turtle,Reptilia,"b'Minnesota, US'",b'danders4'
44.8826480694,-93.1800379491,Chelydra serpentina,Common Snapping Turtle,Reptilia,"b'Hennepin County, MN, USA'",b'cmlr'
44.8852630826,-93.1851877904,Chrysemys picta,Painted Turtle,Reptilia,"b'Hennepin County, MN, USA'",b'cmlr'
44.7785191637,-93.1642866221,Chrysemys picta,Painted Turtle,Reptilia,"b'Jensen Lake Playground, Lebanon Hills Regional Park, Eagan, MN, USA'",b'goldygopher75'
46.5384057,-93.347127,Chelydra serpentina,Common Snapping Turtle,Reptilia,"b'Auto Tour Rd, Minnesota, USA'",b'mnwild'
